id,category,question,option_a,option_b,option_c,option_d,correct
77,Kommunikation,In deiner Rolle als Führungskraft: du Erwartungen an Qualität kommunizieren musst. Was ist der sinnvollste erste Schritt?,"A) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","B) paraphrasieren, nachfragen, bestätigen.","C) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","D) Das Thema vertagen, bis es sich von selbst beruhigt",B
78,Kommunikation,In deiner Rolle als Führungskraft: ein Teammitglied kaum spricht und Infos fehlen. Was ist der sinnvollste erste Schritt?,"A) Einzelne Schuldige benennen, um ein Exempel zu statuieren","B) Kernaussage, Gründe, nächste Schritte.",C) Sofort eine Entscheidung allein treffen und kommunizieren,"D) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",B
79,Kommunikation,In deiner Rolle als Führungskraft: ein wichtiges Change-Update kommuniziert werden muss. Was ist der sinnvollste erste Schritt?,A) Sofort eine Entscheidung allein treffen und kommunizieren,B) Wirkung schildern statt Vorwurf.,"C) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",D) Die Verantwortung vollständig an eine andere Person abgeben,B
80,Kommunikation,In deiner Rolle als Führungskraft: ein Teammitglied kaum spricht und Infos fehlen. Was ist der sinnvollste erste Schritt? (Variante 10),"A) Das Thema vertagen, bis es sich von selbst beruhigt",B) Sofort eine Entscheidung allein treffen und kommunizieren,"C) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","D) paraphrasieren, nachfragen, bestätigen.",D
81,Kommunikation,In deiner Rolle als Führungskraft: ein Stakeholder-Meeting mit Widerstand ansteht. Was ist der sinnvollste erste Schritt? (Variante 11),A) Sofort eine Entscheidung allein treffen und kommunizieren,"B) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","C) Einzelne Schuldige benennen, um ein Exempel zu statuieren","D) paraphrasieren, nachfragen, bestätigen.",D
82,Kommunikation,In deiner Rolle als Führungskraft: ein Stakeholder-Meeting mit Widerstand ansteht. Was ist der sinnvollste erste Schritt? (Variante 12),A) Sofort eine Entscheidung allein treffen und kommunizieren,"B) Einzelne Schuldige benennen, um ein Exempel zu statuieren","C) kurz, faktenbasiert, freundlich, klar.",D) Die Verantwortung vollständig an eine andere Person abgeben,C
83,Kommunikation,In deiner Rolle als Führungskraft: du negatives Feedback geben musst. Was ist der sinnvollste erste Schritt? (Variante 13),"A) kurz, faktenbasiert, freundlich, klar.","B) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","C) Einzelne Schuldige benennen, um ein Exempel zu statuieren",D) Sofort eine Entscheidung allein treffen und kommunizieren,A
84,Kommunikation,In deiner Rolle als Führungskraft: du negatives Feedback geben musst. Was ist der sinnvollste erste Schritt? (Variante 14),"A) paraphrasieren, nachfragen, bestätigen.","B) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","C) Das Thema vertagen, bis es sich von selbst beruhigt","D) Einzelne Schuldige benennen, um ein Exempel zu statuieren",A
85,Kommunikation,In deiner Rolle als Führungskraft: ein Missverständnis per Chat eskaliert. Was ist der sinnvollste erste Schritt? (Variante 15),"A) Kernaussage, Gründe, nächste Schritte.","B) Einzelne Schuldige benennen, um ein Exempel zu statuieren","C) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","D) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären",A
86,Kommunikation,In deiner Rolle als Führungskraft: du zwischen zwei Parteien vermitteln musst. Was ist der sinnvollste erste Schritt? (Variante 16),A) Sofort eine Entscheidung allein treffen und kommunizieren,"B) offene Fragen, Verständnis sichern.",C) Die Verantwortung vollständig an eine andere Person abgeben,"D) Das Thema vertagen, bis es sich von selbst beruhigt",B
87,Kommunikation,In deiner Rolle als Führungskraft: remote Meetings ineffektiv sind. Was ist der sinnvollste erste Schritt?,"A) Einzelne Schuldige benennen, um ein Exempel zu statuieren","B) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","C) Kernaussage, Gründe, nächste Schritte.","D) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",C
88,Kommunikation,In deiner Rolle als Führungskraft: du negatives Feedback geben musst. Was ist der sinnvollste erste Schritt? (Variante 18),"A) Kernaussage, Gründe, nächste Schritte.","B) Das Thema vertagen, bis es sich von selbst beruhigt","C) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären",D) Die Verantwortung vollständig an eine andere Person abgeben,A
89,Kommunikation,In deiner Rolle als Führungskraft: du eine Entscheidung transparent erklären musst. Was ist der sinnvollste erste Schritt?,A) Die Verantwortung vollständig an eine andere Person abgeben,"B) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","C) Einzelne Schuldige benennen, um ein Exempel zu statuieren","D) kurz, faktenbasiert, freundlich, klar.",D
90,Kommunikation,In deiner Rolle als Führungskraft: ein Teammitglied kaum spricht und Infos fehlen. Was ist der sinnvollste erste Schritt? (Variante 20),A) Sofort eine Entscheidung allein treffen und kommunizieren,"B) kurz, faktenbasiert, freundlich, klar.","C) Das Thema vertagen, bis es sich von selbst beruhigt","D) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären",B
91,Personal,In deiner Rolle als Führungskraft: Schichtplanung zu Unzufriedenheit führt. Was ist der sinnvollste erste Schritt?,"A) Einzelne Schuldige benennen, um ein Exempel zu statuieren","B) Das Thema vertagen, bis es sich von selbst beruhigt","C) Kriterien offenlegen, Gleichbehandlung.","D) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",C
92,Personal,In deiner Rolle als Führungskraft: eine Abmahnung im Raum steht. Was ist der sinnvollste erste Schritt?,"A) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",B) Die Verantwortung vollständig an eine andere Person abgeben,"C) Fakten sammeln, sauber dokumentieren.","D) Das Thema vertagen, bis es sich von selbst beruhigt",C
93,Personal,In deiner Rolle als Führungskraft: eine Probezeitentscheidung getroffen werden muss. Was ist der sinnvollste erste Schritt?,"A) klar, respektvoll, lösungsorientiert.",B) Die Verantwortung vollständig an eine andere Person abgeben,"C) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","D) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären",A
94,Personal,In deiner Rolle als Führungskraft: Schichtplanung zu Unzufriedenheit führt. Was ist der sinnvollste erste Schritt? (Variante 4),"A) Das Thema vertagen, bis es sich von selbst beruhigt",B) Sofort eine Entscheidung allein treffen und kommunizieren,"C) Maßnahmenplan, Meilensteine, Follow-up.",D) Die Verantwortung vollständig an eine andere Person abgeben,C
95,Personal,In deiner Rolle als Führungskraft: du ein Bewerbungsgespräch führst. Was ist der sinnvollste erste Schritt?,"A) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","B) Einzelne Schuldige benennen, um ein Exempel zu statuieren",C) Sofort eine Entscheidung allein treffen und kommunizieren,"D) Kriterien offenlegen, Gleichbehandlung.",D
96,Personal,In deiner Rolle als Führungskraft: eine Leistungsbeurteilung ansteht. Was ist der sinnvollste erste Schritt?,A) Die Verantwortung vollständig an eine andere Person abgeben,B) Sofort eine Entscheidung allein treffen und kommunizieren,"C) HR einbinden, Regeln einhalten.","D) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",C
97,Personal,In deiner Rolle als Führungskraft: eine Abmahnung im Raum steht. Was ist der sinnvollste erste Schritt? (Variante 7),"A) Maßnahmenplan, Meilensteine, Follow-up.","B) Einzelne Schuldige benennen, um ein Exempel zu statuieren","C) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","D) Das Thema vertagen, bis es sich von selbst beruhigt",A
98,Personal,In deiner Rolle als Führungskraft: eine Probezeitentscheidung getroffen werden muss. Was ist der sinnvollste erste Schritt? (Variante 8),A) Die Verantwortung vollständig an eine andere Person abgeben,"B) Fakten sammeln, sauber dokumentieren.","C) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","D) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",B
99,Personal,In deiner Rolle als Führungskraft: ein Konflikt mit Betriebsrat absehbar ist. Was ist der sinnvollste erste Schritt?,A) Sofort eine Entscheidung allein treffen und kommunizieren,"B) HR einbinden, Regeln einhalten.","C) Das Thema vertagen, bis es sich von selbst beruhigt","D) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",B
100,Personal,In deiner Rolle als Führungskraft: Schichtplanung zu Unzufriedenheit führt. Was ist der sinnvollste erste Schritt? (Variante 10),"A) Das Thema vertagen, bis es sich von selbst beruhigt","B) Einzelne Schuldige benennen, um ein Exempel zu statuieren","C) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","D) klar, respektvoll, lösungsorientiert.",D
101,Personal,In deiner Rolle als Führungskraft: eine Leistungsbeurteilung ansteht. Was ist der sinnvollste erste Schritt? (Variante 11),"A) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","B) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","C) Maßnahmenplan, Meilensteine, Follow-up.","D) Einzelne Schuldige benennen, um ein Exempel zu statuieren",C
102,Personal,In deiner Rolle als Führungskraft: eine Weiterbildung geplant werden soll. Was ist der sinnvollste erste Schritt?,A) Die Verantwortung vollständig an eine andere Person abgeben,"B) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","C) Einzelne Schuldige benennen, um ein Exempel zu statuieren","D) klar, respektvoll, lösungsorientiert.",D
103,Personal,In deiner Rolle als Führungskraft: ein Teammitglied Versetzungswunsch äußert. Was ist der sinnvollste erste Schritt?,A) Die Verantwortung vollständig an eine andere Person abgeben,"B) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","C) Kriterien offenlegen, Gleichbehandlung.","D) Das Thema vertagen, bis es sich von selbst beruhigt",C
104,Personal,In deiner Rolle als Führungskraft: eine Weiterbildung geplant werden soll. Was ist der sinnvollste erste Schritt? (Variante 14),A) Die Verantwortung vollständig an eine andere Person abgeben,"B) Das Thema vertagen, bis es sich von selbst beruhigt","C) Fakten sammeln, sauber dokumentieren.","D) Einzelne Schuldige benennen, um ein Exempel zu statuieren",C
105,Personal,In deiner Rolle als Führungskraft: eine Abmahnung im Raum steht. Was ist der sinnvollste erste Schritt? (Variante 15),A) Die Verantwortung vollständig an eine andere Person abgeben,"B) Das Thema vertagen, bis es sich von selbst beruhigt","C) klar, respektvoll, lösungsorientiert.","D) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",C
106,BGM,In deiner Rolle als Führungskraft: die Fehlzeiten im Team stark steigen. Was ist der sinnvollste erste Schritt?,"A) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären",B) Sofort eine Entscheidung allein treffen und kommunizieren,"C) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",D) Belastungen identifizieren und Ursachen reduzieren.,D
107,BGM,In deiner Rolle als Führungskraft: ein BGM-Programm eingeführt werden soll. Was ist der sinnvollste erste Schritt?,"A) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären",B) Die Verantwortung vollständig an eine andere Person abgeben,C) Sofort eine Entscheidung allein treffen und kommunizieren,D) Arbeitsbedingungen + individuelles Verhalten.,D
108,BGM,In deiner Rolle als Führungskraft: die Fehlzeiten im Team stark steigen. Was ist der sinnvollste erste Schritt? (Variante 3),"A) frühzeitig ansprechen, Angebote vermitteln.","B) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","C) Das Thema vertagen, bis es sich von selbst beruhigt",D) Sofort eine Entscheidung allein treffen und kommunizieren,A
109,BGM,In deiner Rolle als Führungskraft: Ergonomie am Arbeitsplatz schlecht ist. Was ist der sinnvollste erste Schritt?,"A) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären",B) Arbeitsbedingungen + individuelles Verhalten.,C) Sofort eine Entscheidung allein treffen und kommunizieren,"D) Einzelne Schuldige benennen, um ein Exempel zu statuieren",B
110,BGM,In deiner Rolle als Führungskraft: psychische Belastung durch Dauerstress sichtbar wird. Was ist der sinnvollste erste Schritt?,A) Die Verantwortung vollständig an eine andere Person abgeben,"B) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","C) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","D) frühzeitig ansprechen, Angebote vermitteln.",D
111,BGM,In deiner Rolle als Führungskraft: die Fehlzeiten im Team stark steigen. Was ist der sinnvollste erste Schritt? (Variante 6),A) Die Verantwortung vollständig an eine andere Person abgeben,"B) Einzelne Schuldige benennen, um ein Exempel zu statuieren","C) Das Thema vertagen, bis es sich von selbst beruhigt","D) Pausen, Prioritäten, Ressourcenausgleich.",D
112,BGM,In deiner Rolle als Führungskraft: eine Gefährdungsbeurteilung ansteht. Was ist der sinnvollste erste Schritt?,A) Sofort eine Entscheidung allein treffen und kommunizieren,"B) Das Thema vertagen, bis es sich von selbst beruhigt","C) frühzeitig ansprechen, Angebote vermitteln.","D) Einzelne Schuldige benennen, um ein Exempel zu statuieren",C
113,BGM,In deiner Rolle als Führungskraft: viele Überstunden anfallen. Was ist der sinnvollste erste Schritt?,"A) frühzeitig ansprechen, Angebote vermitteln.",B) Die Verantwortung vollständig an eine andere Person abgeben,"C) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","D) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",A
114,BGM,In deiner Rolle als Führungskraft: Rückkehrgespräche nach Krankheit geführt werden müssen. Was ist der sinnvollste erste Schritt?,"A) Das Thema vertagen, bis es sich von selbst beruhigt","B) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären","C) Pausen, Prioritäten, Ressourcenausgleich.","D) Einzelne Schuldige benennen, um ein Exempel zu statuieren",C
115,BGM,In deiner Rolle als Führungskraft: Ergonomie am Arbeitsplatz schlecht ist. Was ist der sinnvollste erste Schritt? (Variante 10),A) Belastungen identifizieren und Ursachen reduzieren.,B) Sofort eine Entscheidung allein treffen und kommunizieren,"C) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären",D) Die Verantwortung vollständig an eine andere Person abgeben,A
116,BGM,In deiner Rolle als Führungskraft: Ergonomie am Arbeitsplatz schlecht ist. Was ist der sinnvollste erste Schritt? (Variante 11),A) Die Verantwortung vollständig an eine andere Person abgeben,B) Sofort eine Entscheidung allein treffen und kommunizieren,"C) Plan, Abstimmung, Schonung.","D) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",C
117,BGM,In deiner Rolle als Führungskraft: psychische Belastung durch Dauerstress sichtbar wird. Was ist der sinnvollste erste Schritt? (Variante 12),A) Arbeitsbedingungen + individuelles Verhalten.,"B) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen",C) Die Verantwortung vollständig an eine andere Person abgeben,"D) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären",A
118,BGM,In deiner Rolle als Führungskraft: Rückkehrgespräche nach Krankheit geführt werden müssen. Was ist der sinnvollste erste Schritt? (Variante 13),A) Belastungen identifizieren und Ursachen reduzieren.,"B) Das Thema vertagen, bis es sich von selbst beruhigt",C) Die Verantwortung vollständig an eine andere Person abgeben,"D) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären",A
119,BGM,In deiner Rolle als Führungskraft: psychische Belastung durch Dauerstress sichtbar wird. Was ist der sinnvollste erste Schritt? (Variante 14),"A) Plan, Abstimmung, Schonung.","B) Das Thema vertagen, bis es sich von selbst beruhigt",C) Sofort eine Entscheidung allein treffen und kommunizieren,"D) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären",A
120,BGM,In deiner Rolle als Führungskraft: Rückkehrgespräche nach Krankheit geführt werden müssen. Was ist der sinnvollste erste Schritt? (Variante 15),"A) Mit Druck/Deadline arbeiten, ohne Ursachen zu klären",B) Arbeitsbedingungen + individuelles Verhalten.,"C) Das Problem primär per E-Mail/Chat klären, um Zeit zu sparen","D) Einzelne Schuldige benennen, um ein Exempel zu statuieren",B
